influencer_id,handle,platform,category,risk_score,risk_band,evidence_coverage_pct,calculated_engagement_rate_pct,view_rate_pct,follower_growth_30d_pct,platform_median_engagement_rate_pct,signal_count,signals,limitations,rule_version
INF-020,creator_20,youtube,fitness,95,high,100,1.38,136.79,96.88,4.01,5,rapid_growth (+30): 30-day follower growth is unusually high at 96.88%. | peer_growth_outlier (+10): Growth is a strong outlier relative to 10 youtube peers. | very_low_peer_engagement (+25): Engagement rate (1.38%) is below 40% of the youtube peer median. | growth_engagement_mismatch (+20): Rapid follower growth is not accompanied by peer-comparable engagement. | views_engagement_mismatch (+10): View rate is in the upper peer quartile while engagement is in the lower peer quartile.,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-030,creator_30,tiktok,fashion,85,high,100,0.36,17.81,111.07,4.04,4,rapid_growth (+30): 30-day follower growth is unusually high at 111.07%. | peer_growth_outlier (+10): Growth is a strong outlier relative to 10 tiktok peers. | very_low_peer_engagement (+25): Engagement rate (0.36%) is below 40% of the tiktok peer median. | growth_engagement_mismatch (+20): Rapid follower growth is not accompanied by peer-comparable engagement.,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-010,creator_10,instagram,food,72,high,100,1.82,131.04,109.57,3.48,4,rapid_growth (+30): 30-day follower growth is unusually high at 109.57%. | peer_growth_outlier (+10): Growth is a strong outlier relative to 10 instagram peers. | low_peer_engagement (+12): Engagement rate (1.82%) is below 65% of the instagram peer median. | growth_engagement_mismatch (+20): Rapid follower growth is not accompanied by peer-comparable engagement.,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-004,creator_04,instagram,food,40,medium,100,1.02,125.73,6.34,3.48,3,very_low_peer_engagement (+25): Engagement rate (1.02%) is below 40% of the instagram peer median. | high_network_ratio (+5): Follower-to-following ratio is high at 351:1. | views_engagement_mismatch (+10): View rate is in the upper peer quartile while engagement is in the lower peer quartile.,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-005,creator_05,youtube,technology,35,medium,100,1.25,14.83,9.63,4.01,2,very_low_peer_engagement (+25): Engagement rate (1.25%) is below 40% of the youtube peer median. | extreme_network_ratio (+10): Follower-to-following ratio is extreme at 1637:1.,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-024,creator_24,tiktok,fashion,30,medium,100,1.04,23.12,5.35,4.04,2,very_low_peer_engagement (+25): Engagement rate (1.04%) is below 40% of the tiktok peer median. | high_network_ratio (+5): Follower-to-following ratio is high at 770:1.,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-022,creator_22,instagram,food,25,low,100,1.02,34.00,0.16,3.48,1,very_low_peer_engagement (+25): Engagement rate (1.02%) is below 40% of the instagram peer median.,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-001,creator_01,instagram,beauty,22,low,100,1.44,82.33,10.22,3.48,2,low_peer_engagement (+12): Engagement rate (1.44%) is below 65% of the instagram peer median. | views_engagement_mismatch (+10): View rate is in the upper peer quartile while engagement is in the lower peer quartile.,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-008,creator_08,youtube,fitness,17,low,100,2.25,12.07,4.49,4.01,2,low_peer_engagement (+12): Engagement rate (2.25%) is below 65% of the youtube peer median. | high_network_ratio (+5): Follower-to-following ratio is high at 987:1.,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
INF-011,creator_11,youtube,technology,12,low,100,2.34,37.79,4.33,4.01,1,low_peer_engagement (+12): Engagement rate (2.34%) is below 65% of the youtube peer median.,Public metrics cannot confirm purchased followers or coordinated behaviour. | Platform definitions and observation windows may differ.,auth-risk-rules-v1.0
