outcome_id,campaign_id,influencer_id,impressions,clicks,conversions,attributed_revenue,influencer_fee,production_cost,currency
OUT-001,CAM-001,INF-001,211716,7110,342,615600,196000,21267,INR
OUT-002,CAM-002,INF-003,401887,9995,688,2063312,320000,20022,INR
OUT-003,CAM-003,INF-005,254649,4563,133,1662500,276000,9887,INR
OUT-004,CAM-001,INF-007,138877,3252,151,271800,11000,13590,INR
OUT-005,CAM-002,INF-009,231576,9437,292,875708,8000,18194,INR
OUT-006,CAM-003,INF-011,325377,8080,472,5900000,351000,18995,INR
OUT-007,CAM-001,INF-013,464829,10061,434,781200,34000,19378,INR
OUT-008,CAM-002,INF-015,137586,2492,46,137954,477000,19441,INR
OUT-009,CAM-003,INF-017,330095,13374,218,2725000,340000,11199,INR
OUT-010,CAM-001,INF-019,398849,11804,578,1040400,316000,23192,INR
OUT-011,CAM-002,INF-021,303838,2745,148,443852,241000,22282,INR
OUT-012,CAM-003,INF-023,386257,8869,156,1950000,418000,5487,INR
