campaign_id,campaign_name,rank,influencer_id,handle,platform,category,overall_score,campaign_fit_score,authenticity_score,engagement_quality_score,cost_efficiency_score,authenticity_risk_band,matched_terms,missing_campaign_terms,explanation,weight_version
CAM-001,EcoGlow Summer Launch,1,INF-019,creator_19,instagram,beauty,66.67,43.33,95.00,85.00,85.00,low,skincare|sustainable,based|plant|spf|summer,campaign fit: 43.33 × 50% = 21.67 | authenticity: 95.00 × 25% = 23.75 | engagement quality: 85.00 × 15% = 12.75 | cost efficiency: 85.00 × 10% = 8.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,2,INF-007,creator_07,instagram,beauty,64.42,43.33,100.00,75.00,65.00,low,skincare|sustainable,based|plant|spf|summer,campaign fit: 43.33 × 50% = 21.67 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 75.00 × 15% = 11.25 | cost efficiency: 65.00 × 10% = 6.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,3,INF-013,creator_13,instagram,beauty,60.92,43.33,100.00,65.00,45.00,low,skincare|sustainable,based|plant|spf|summer,campaign fit: 43.33 × 50% = 21.67 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 65.00 × 15% = 9.75 | cost efficiency: 45.00 × 10% = 4.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,4,INF-025,creator_25,instagram,beauty,56.42,43.33,90.00,45.00,55.00,low,skincare|sustainable,based|plant|spf|summer,campaign fit: 43.33 × 50% = 21.67 | authenticity: 90.00 × 25% = 22.50 | engagement quality: 45.00 × 15% = 6.75 | cost efficiency: 55.00 × 10% = 5.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,5,INF-028,creator_28,instagram,food,56.25,15.00,100.00,95.00,95.00,low,,based|plant|skincare|spf|summer|sustainable,campaign fit: 15.00 × 50% = 7.50 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 95.00 × 15% = 14.25 | cost efficiency: 95.00 × 10% = 9.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,6,INF-006,creator_06,tiktok,fashion,55.25,15.00,100.00,95.00,85.00,low,,based|plant|skincare|spf|summer|sustainable,campaign fit: 15.00 × 50% = 7.50 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 95.00 × 15% = 14.25 | cost efficiency: 85.00 × 10% = 8.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,7,INF-029,creator_29,youtube,technology,55.25,15.00,100.00,95.00,85.00,low,,based|plant|skincare|spf|summer|sustainable,campaign fit: 15.00 × 50% = 7.50 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 95.00 × 15% = 14.25 | cost efficiency: 85.00 × 10% = 8.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,8,INF-002,creator_02,youtube,fitness,53.50,15.00,95.00,85.00,95.00,low,,based|plant|skincare|spf|summer|sustainable,campaign fit: 15.00 × 50% = 7.50 | authenticity: 95.00 × 25% = 23.75 | engagement quality: 85.00 × 15% = 12.75 | cost efficiency: 95.00 × 10% = 9.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,9,INF-023,creator_23,youtube,technology,51.25,15.00,100.00,75.00,75.00,low,,based|plant|skincare|spf|summer|sustainable,campaign fit: 15.00 × 50% = 7.50 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 75.00 × 15% = 11.25 | cost efficiency: 75.00 × 10% = 7.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,10,INF-021,creator_21,tiktok,travel,49.25,15.00,100.00,75.00,55.00,low,,based|plant|skincare|spf|summer|sustainable,campaign fit: 15.00 × 50% = 7.50 | authenticity: 100.00 × 25% = 25.00 | engagement quality: 75.00 × 15% = 11.25 | cost efficiency: 55.00 × 10% = 5.50,ranking-weights-v1.0
CAM-001,EcoGlow Summer Launch,11,INF-001,creator_01,instagram,beauty,47.42,43.33,78.00,25.00,25.00,low,skincare|sustainable,based|plant|spf|summer,campaign fit: 43.33 × 50% = 21.67 | authenticity: 78.00 × 25% = 19.50 | engagement quality: 25.00 × 15% = 3.75 | cost efficiency: 25.00 × 10% = 2.50,ranking-weights-v1.0
