influencer_id,handle,platform,category,profile_text,location,primary_language,followers,following,average_likes,average_comments,average_views,average_shares,follower_growth_30d_pct,engagement_rate_pct,estimated_fee,currency,content_topics
INF-001,creator_01,instagram,beauty,"beauty creator sharing practical skincare, beauty routines, sustainable products",Bengaluru,en,319062,2186,2130,208,262679,2254,10.22,0.73,196000,INR,skincare|beauty routines|sustainable products
INF-002,creator_02,youtube,fitness,"fitness creator sharing practical fitness, wellness, home workout",Chennai,en,688585,1635,35822,3495,277436,3410,5.33,5.71,284000,INR,fitness|wellness|home workout
INF-003,creator_03,tiktok,travel,"travel creator sharing practical travel, budget trips, local experiences",Delhi,en,840290,1035,25960,2533,928724,2078,7.07,3.39,320000,INR,travel|budget trips|local experiences
INF-004,creator_04,instagram,food,"food creator sharing practical recipes, restaurants, healthy food",Hyderabad,en,737507,2099,3718,363,927252,3449,6.34,0.55,573000,INR,recipes|restaurants|healthy food
INF-005,creator_05,youtube,technology,"technology creator sharing practical consumer tech, apps, productivity",Kochi,en,649961,397,6929,676,96360,537,9.63,1.17,276000,INR,consumer tech|apps|productivity
INF-006,creator_06,tiktok,fashion,"fashion creator sharing practical style, ethical fashion, streetwear",Mumbai,en,752566,4172,45819,4470,673496,5588,6.71,6.68,575000,INR,style|ethical fashion|streetwear
INF-007,creator_07,instagram,beauty,"beauty creator sharing practical skincare, beauty routines, sustainable products",Pune,en,23244,2476,1113,109,11130,85,8.5,5.26,11000,INR,skincare|beauty routines|sustainable products
INF-008,creator_08,youtube,fitness,"fitness creator sharing practical fitness, wellness, home workout",Bengaluru,en,244890,248,4907,479,29566,119,4.49,2.2,101000,INR,fitness|wellness|home workout
INF-009,creator_09,tiktok,travel,"travel creator sharing practical travel, budget trips, local experiences",Chennai,hi,16890,2403,497,49,20715,146,2.34,3.23,8000,INR,travel|budget trips|local experiences
INF-010,creator_10,instagram,food,"food creator sharing practical recipes, restaurants, healthy food",Delhi,en,740378,3851,1111,59,970204,12277,109.57,0.16,452000,INR,recipes|restaurants|healthy food
INF-011,creator_11,youtube,technology,"technology creator sharing practical consumer tech, apps, productivity",Hyderabad,en,475201,2150,8499,829,179586,1797,4.33,1.96,351000,INR,consumer tech|apps|productivity
INF-012,creator_12,tiktok,fashion,"fashion creator sharing practical style, ethical fashion, streetwear",Kochi,en,249020,1965,8619,841,230022,1931,7.77,3.8,192000,INR,style|ethical fashion|streetwear
INF-013,creator_13,instagram,beauty,"beauty creator sharing practical skincare, beauty routines, sustainable products",Mumbai,en,45455,2044,1866,182,16638,42,2.09,4.51,34000,INR,skincare|beauty routines|sustainable products
INF-014,creator_14,youtube,fitness,"fitness creator sharing practical fitness, wellness, home workout",Pune,en,85537,2144,2202,215,12746,87,5.87,2.83,68000,INR,fitness|wellness|home workout
INF-015,creator_15,tiktok,travel,"travel creator sharing practical travel, budget trips, local experiences",Bengaluru,en,610278,784,17467,1704,185711,643,1.16,3.14,477000,INR,travel|budget trips|local experiences
INF-016,creator_16,instagram,food,"food creator sharing practical recipes, restaurants, healthy food",Chennai,en,689741,520,21786,2125,207753,742,5.51,3.47,181000,INR,recipes|restaurants|healthy food
INF-017,creator_17,youtube,technology,"technology creator sharing practical consumer tech, apps, productivity",Delhi,en,544669,1814,24424,2383,346796,981,9.15,4.92,340000,INR,consumer tech|apps|productivity
INF-018,creator_18,tiktok,fashion,"fashion creator sharing practical style, ethical fashion, streetwear",Hyderabad,hi,655285,4194,21821,2129,387613,2116,4.65,3.65,450000,INR,style|ethical fashion|streetwear
INF-019,creator_19,instagram,beauty,"beauty creator sharing practical skincare, beauty routines, sustainable products",Kochi,en,759132,1975,38176,3725,578831,2290,6.63,5.52,316000,INR,skincare|beauty routines|sustainable products
INF-020,creator_20,youtube,fitness,"fitness creator sharing practical fitness, wellness, home workout",Mumbai,en,161106,1815,242,13,220377,1969,96.88,0.16,97000,INR,fitness|wellness|home workout
