influencer_id,handle,platform,category,followers,average_engagements,calculated_engagement_rate_pct,view_rate_pct,follower_growth_30d_pct,estimated_fee,estimated_cost_per_engagement,currency
INF-001,creator_01,instagram,beauty,319062,4592.00,1.44,82.33,10.22,196000,42.68,INR
INF-002,creator_02,youtube,fitness,688585,42727.00,6.21,40.29,5.33,284000,6.65,INR
INF-003,creator_03,tiktok,travel,840290,30571.00,3.64,110.52,7.07,320000,10.47,INR
INF-004,creator_04,instagram,food,737507,7530.00,1.02,125.73,6.34,573000,76.10,INR
INF-005,creator_05,youtube,technology,649961,8142.00,1.25,14.83,9.63,276000,33.90,INR
INF-006,creator_06,tiktok,fashion,752566,55877.00,7.42,89.49,6.71,575000,10.29,INR
INF-007,creator_07,instagram,beauty,23244,1307.00,5.62,47.88,8.5,11000,8.42,INR
INF-008,creator_08,youtube,fitness,244890,5505.00,2.25,12.07,4.49,101000,18.35,INR
INF-009,creator_09,tiktok,travel,16890,692.00,4.10,122.65,2.34,8000,11.56,INR
INF-010,creator_10,instagram,food,740378,13447.00,1.82,131.04,109.57,452000,33.61,INR
INF-011,creator_11,youtube,technology,475201,11125.00,2.34,37.79,4.33,351000,31.55,INR
INF-012,creator_12,tiktok,fashion,249020,11391.00,4.57,92.37,7.77,192000,16.86,INR
INF-013,creator_13,instagram,beauty,45455,2090.00,4.60,36.60,2.09,34000,16.27,INR
INF-014,creator_14,youtube,fitness,85537,2504.00,2.93,14.90,5.87,68000,27.16,INR
INF-015,creator_15,tiktok,travel,610278,19814.00,3.25,30.43,1.16,477000,24.07,INR
INF-016,creator_16,instagram,food,689741,24653.00,3.57,30.12,5.51,181000,7.34,INR
INF-017,creator_17,youtube,technology,544669,27788.00,5.10,63.67,9.15,340000,12.24,INR
INF-018,creator_18,tiktok,fashion,655285,26066.00,3.98,59.15,4.65,450000,17.26,INR
INF-019,creator_19,instagram,beauty,759132,44191.00,5.82,76.25,6.63,316000,7.15,INR
INF-020,creator_20,youtube,fitness,161106,2224.00,1.38,136.79,96.88,97000,43.62,INR
INF-021,creator_21,tiktok,travel,304601,19351.00,6.35,21.21,1.02,241000,12.45,INR
INF-022,creator_22,instagram,food,95231,969.00,1.02,34.00,0.16,46000,47.47,INR
INF-023,creator_23,youtube,technology,631376,38380.00,6.08,20.64,5.32,418000,10.89,INR
INF-024,creator_24,tiktok,fashion,273189,2835.00,1.04,23.12,5.35,202000,71.25,INR
INF-025,creator_25,instagram,beauty,818024,27674.00,3.38,31.81,3.35,273000,9.86,INR
INF-026,creator_26,youtube,fitness,815301,43084.00,5.28,69.70,6.79,641000,14.88,INR
INF-027,creator_27,tiktok,travel,481079,33200.00,6.90,48.81,0.8,137000,4.13,INR
INF-028,creator_28,instagram,food,430072,28978.00,6.74,28.84,5.44,153000,5.28,INR
INF-029,creator_29,youtube,technology,81075,6278.00,7.74,97.01,6.25,58000,9.24,INR
INF-030,creator_30,tiktok,fashion,141128,514.00,0.36,17.81,111.07,41000,79.77,INR
