campaign_id,driver,change_pct,baseline_contribution_roi_pct,adjusted_contribution_roi_pct,roi_change_percentage_points,version
CAM-001,reach_rate_pct,10.00,9.20,20.12,10.92,roi-simulator-v1.0
CAM-001,click_through_rate_pct,10.00,9.20,20.12,10.92,roi-simulator-v1.0
CAM-001,conversion_rate_pct,10.00,9.20,20.12,10.92,roi-simulator-v1.0
CAM-001,average_order_value,10.00,9.20,20.12,10.92,roi-simulator-v1.0
CAM-001,gross_margin_pct,10.00,9.20,20.12,10.92,roi-simulator-v1.0
CAM-001,influencer_fees,10.00,9.20,1.11,-8.09,roi-simulator-v1.0
CAM-001,production_cost,10.00,9.20,7.76,-1.44,roi-simulator-v1.0
CAM-001,other_campaign_costs,10.00,9.20,8.48,-0.72,roi-simulator-v1.0
CAM-002,reach_rate_pct,10.00,92.79,112.07,19.28,roi-simulator-v1.0
CAM-002,click_through_rate_pct,10.00,92.79,112.07,19.28,roi-simulator-v1.0
CAM-002,conversion_rate_pct,10.00,92.79,112.07,19.28,roi-simulator-v1.0
CAM-002,average_order_value,10.00,92.79,112.07,19.28,roi-simulator-v1.0
CAM-002,gross_margin_pct,10.00,92.79,112.07,19.28,roi-simulator-v1.0
CAM-002,influencer_fees,10.00,92.79,78.45,-14.34,roi-simulator-v1.0
CAM-002,production_cost,10.00,92.79,90.24,-2.55,roi-simulator-v1.0
CAM-002,other_campaign_costs,10.00,92.79,91.60,-1.20,roi-simulator-v1.0
CAM-003,reach_rate_pct,10.00,-21.55,-13.70,7.85,roi-simulator-v1.0
CAM-003,click_through_rate_pct,10.00,-21.55,-13.70,7.85,roi-simulator-v1.0
CAM-003,conversion_rate_pct,10.00,-21.55,-13.70,7.85,roi-simulator-v1.0
CAM-003,average_order_value,10.00,-21.55,-13.70,7.85,roi-simulator-v1.0
CAM-003,gross_margin_pct,10.00,-21.55,-13.70,7.85,roi-simulator-v1.0
CAM-003,influencer_fees,10.00,-21.55,-27.05,-5.51,roi-simulator-v1.0
CAM-003,production_cost,10.00,-21.55,-23.00,-1.45,roi-simulator-v1.0
CAM-003,other_campaign_costs,10.00,-21.55,-21.99,-0.44,roi-simulator-v1.0
