outcome_id,campaign_id,influencer_id,impressions,clicks,conversions,attributed_revenue,influencer_fee,production_cost,currency,total_cost,profit,click_through_rate_pct,conversion_rate_pct,cost_per_acquisition,roas_x,roi_pct
OUT-001,CAM-001,INF-001,211716,7110,342,615600,196000,21267,INR,217267.00,398333.00,3.36,4.81,635.28,2.83,183.34
OUT-002,CAM-002,INF-003,401887,9995,688,2063312,320000,20022,INR,340022.00,1723290.00,2.49,6.88,494.22,6.07,506.82
OUT-003,CAM-003,INF-005,254649,4563,133,1662500,276000,9887,INR,285887.00,1376613.00,1.79,2.91,2149.53,5.82,481.52
OUT-004,CAM-001,INF-007,138877,3252,151,271800,11000,13590,INR,24590.00,247210.00,2.34,4.64,162.85,11.05,1005.33
OUT-005,CAM-002,INF-009,231576,9437,292,875708,8000,18194,INR,26194.00,849514.00,4.08,3.09,89.71,33.43,3243.16
OUT-006,CAM-003,INF-011,325377,8080,472,5900000,351000,18995,INR,369995.00,5530005.00,2.48,5.84,783.89,15.95,1494.62
OUT-007,CAM-001,INF-013,464829,10061,434,781200,34000,19378,INR,53378.00,727822.00,2.16,4.31,122.99,14.64,1363.52
OUT-008,CAM-002,INF-015,137586,2492,46,137954,477000,19441,INR,496441.00,-358487.00,1.81,1.85,10792.20,0.28,-72.21
OUT-009,CAM-003,INF-017,330095,13374,218,2725000,340000,11199,INR,351199.00,2373801.00,4.05,1.63,1611.00,7.76,675.91
OUT-010,CAM-001,INF-019,398849,11804,578,1040400,316000,23192,INR,339192.00,701208.00,2.96,4.90,586.84,3.07,206.73
OUT-011,CAM-002,INF-021,303838,2745,148,443852,241000,22282,INR,263282.00,180570.00,0.90,5.39,1778.93,1.69,68.58
OUT-012,CAM-003,INF-023,386257,8869,156,1950000,418000,5487,INR,423487.00,1526513.00,2.30,1.76,2714.66,4.60,360.46
