submission_id,campaign_id,influencer_id,compliance_score,status,topic_coverage_pct,deterministic_missing,prohibited_matches,evidence,limitations,version
SUB-001,CAM-001,INF-001,100.00,compliant,100.00,,,"hashtags: found #EcoGlow, #SummerSkin; missing none | mentions: found @ecoglow; missing none | links: found https://example.com/ecoglow; missing none | disclosure: found #ad; missing none | campaign topics: found skincare, summer, sustainable; missing none | prohibited terms: found none; missing none","Topic coverage is lexical and may miss paraphrases or context. | Caption checks do not inspect images, video, audio, destination pages, or legal sufficiency.",caption-compliance-v1.0
SUB-002,CAM-002,INF-003,80.00,needs_review,100.00,disclosure: #sponsored,,"hashtags: found #PulseFit30; missing none | mentions: found @pulsefit; missing none | links: found https://example.com/pulsefit; missing none | disclosure: found none; missing #sponsored | campaign topics: found fitness, home, wellness, workout; missing none | prohibited terms: found none; missing none","Topic coverage is lexical and may miss paraphrases or context. | Caption checks do not inspect images, video, audio, destination pages, or legal sufficiency.",caption-compliance-v1.0
SUB-003,CAM-003,INF-005,86.00,non_compliant,80.00,,dangerous travel,"hashtags: found #WanderLite; missing none | mentions: found @wanderlite; missing none | links: found https://example.com/wanderlite; missing none | disclosure: found Paid partnership; missing none | campaign topics: found budget, experience, local, travel; missing trip | prohibited terms: found dangerous travel; missing none","Topic coverage is lexical and may miss paraphrases or context. | Caption checks do not inspect images, video, audio, destination pages, or legal sufficiency.",caption-compliance-v1.0
SUB-004,CAM-001,INF-007,20.00,non_compliant,0.00,hashtags: #SummerSkin | mentions: @ecoglow | links: https://example.com/ecoglow | disclosure: #ad,,"hashtags: found #EcoGlow; missing #SummerSkin | mentions: found none; missing @ecoglow | links: found none; missing https://example.com/ecoglow | disclosure: found none; missing #ad | campaign topics: found none; missing skincare, summer, sustainable | prohibited terms: found none; missing none","Topic coverage is lexical and may miss paraphrases or context. | Caption checks do not inspect images, video, audio, destination pages, or legal sufficiency.",caption-compliance-v1.0
SUB-005,CAM-002,INF-009,100.00,compliant,100.00,,,"hashtags: found #PulseFit30; missing none | mentions: found @pulsefit; missing none | links: found https://example.com/pulsefit; missing none | disclosure: found #sponsored; missing none | campaign topics: found fitness, home, wellness, workout; missing none | prohibited terms: found none; missing none","Topic coverage is lexical and may miss paraphrases or context. | Caption checks do not inspect images, video, audio, destination pages, or legal sufficiency.",caption-compliance-v1.0
SUB-006,CAM-003,INF-011,76.00,needs_review,80.00,disclosure: Paid partnership,,"hashtags: found #WanderLite; missing none | mentions: found @wanderlite; missing none | links: found https://example.com/wanderlite; missing none | disclosure: found none; missing Paid partnership | campaign topics: found budget, experience, local, travel; missing trip | prohibited terms: found none; missing none","Topic coverage is lexical and may miss paraphrases or context. | Caption checks do not inspect images, video, audio, destination pages, or legal sufficiency.",caption-compliance-v1.0
SUB-007,CAM-001,INF-013,90.00,non_compliant,100.00,,skin whitening,"hashtags: found #EcoGlow, #SummerSkin; missing none | mentions: found @ecoglow; missing none | links: found https://example.com/ecoglow; missing none | disclosure: found #ad; missing none | campaign topics: found skincare, summer, sustainable; missing none | prohibited terms: found skin whitening; missing none","Topic coverage is lexical and may miss paraphrases or context. | Caption checks do not inspect images, video, audio, destination pages, or legal sufficiency.",caption-compliance-v1.0
SUB-008,CAM-002,INF-015,30.00,non_compliant,0.00,mentions: @pulsefit | links: https://example.com/pulsefit | disclosure: #sponsored,,"hashtags: found #PulseFit30; missing none | mentions: found none; missing @pulsefit | links: found none; missing https://example.com/pulsefit | disclosure: found none; missing #sponsored | campaign topics: found none; missing fitness, home, wellness, workout | prohibited terms: found none; missing none","Topic coverage is lexical and may miss paraphrases or context. | Caption checks do not inspect images, video, audio, destination pages, or legal sufficiency.",caption-compliance-v1.0
SUB-009,CAM-003,INF-017,96.00,compliant,80.00,,,"hashtags: found #WanderLite; missing none | mentions: found @wanderlite; missing none | links: found https://example.com/wanderlite; missing none | disclosure: found Paid partnership; missing none | campaign topics: found budget, experience, local, travel; missing trip | prohibited terms: found none; missing none","Topic coverage is lexical and may miss paraphrases or context. | Caption checks do not inspect images, video, audio, destination pages, or legal sufficiency.",caption-compliance-v1.0
SUB-010,CAM-001,INF-019,80.00,needs_review,100.00,disclosure: #ad,,"hashtags: found #EcoGlow, #SummerSkin; missing none | mentions: found @ecoglow; missing none | links: found https://example.com/ecoglow; missing none | disclosure: found none; missing #ad | campaign topics: found skincare, summer, sustainable; missing none | prohibited terms: found none; missing none","Topic coverage is lexical and may miss paraphrases or context. | Caption checks do not inspect images, video, audio, destination pages, or legal sufficiency.",caption-compliance-v1.0
SUB-011,CAM-002,INF-021,90.00,non_compliant,100.00,,unsafe weight loss,"hashtags: found #PulseFit30; missing none | mentions: found @pulsefit; missing none | links: found https://example.com/pulsefit; missing none | disclosure: found #sponsored; missing none | campaign topics: found fitness, home, wellness, workout; missing none | prohibited terms: found unsafe weight loss; missing none","Topic coverage is lexical and may miss paraphrases or context. | Caption checks do not inspect images, video, audio, destination pages, or legal sufficiency.",caption-compliance-v1.0
SUB-012,CAM-003,INF-023,30.00,non_compliant,0.00,mentions: @wanderlite | links: https://example.com/wanderlite | disclosure: Paid partnership,,"hashtags: found #WanderLite; missing none | mentions: found none; missing @wanderlite | links: found none; missing https://example.com/wanderlite | disclosure: found none; missing Paid partnership | campaign topics: found none; missing budget, experience, local, travel, trip | prohibited terms: found none; missing none","Topic coverage is lexical and may miss paraphrases or context. | Caption checks do not inspect images, video, audio, destination pages, or legal sufficiency.",caption-compliance-v1.0
